Segment,Count,Mean,Std,Min,Median,Max,Q1,Q3,Growth_Rate,YoY_Growth
2013,2736,23.45,95.18,-302.93,0.0,1653.48,0.0,2.84,,
2014,240628,51.53,236.76,-782.58,1.61,64291.06,0.0,15.79,119.7441364605544,
2015,756734,65.34,228.42,-96.49,2.36,65282.6,0.0,21.93,26.799922375315344,
