,cubiccapacity,kilowatts,capitaloutstanding,suminsured,calculatedpremiumperterm,totalpremium,totalclaims
cubiccapacity,1.0,0.49628192942254234,0.1788127410889307,-0.013309164733485496,0.029074539074287125,0.030903395602245413,0.0018945523368623046
kilowatts,0.49628192942254234,1.0,-0.0109136766780732,-0.007421963143534317,0.010209006080088004,0.008761026383005592,-0.004104769430424619
capitaloutstanding,0.1788127410889307,-0.0109136766780732,1.0,-0.018157304591380156,0.09001269961982147,0.08199795712424734,0.0047863106335294045
suminsured,-0.013309164733485496,-0.007421963143534317,-0.018157304591380156,1.0,-0.10739781727519192,-0.08569804767337436,-0.006492760849455792
calculatedpremiumperterm,0.029074539074287125,0.010209006080088004,0.09001269961982147,-0.10739781727519192,1.0,0.8186204736180667,0.07474599381612185
totalpremium,0.030903395602245413,0.008761026383005592,0.08199795712424734,-0.08569804767337436,0.8186204736180667,1.0,0.08593649063419842
totalclaims,0.0018945523368623046,-0.004104769430424619,0.0047863106335294045,-0.006492760849455792,0.07474599381612185,0.08593649063419842,1.0
