transactionmonth,  
2013-11-01,16
2013-12-01,16
2014-01-01,15
2014-02-01,42
2014-03-01,115
2014-04-01,289
2014-05-01,331
2014-06-01,345
2014-07-01,409
2014-08-01,441
2014-09-01,540
2014-10-01,817
2014-11-01,1170
2014-12-01,1541
2015-01-01,1972
2015-02-01,2996
2015-03-01,4391
2015-04-01,5620
2015-05-01,6476
2015-06-01,6983
2015-07-01,7547
2015-08-01,7928
