transactionmonth,Close Corporation,Individual
2013-11-01,0,16
2013-12-01,0,16
2014-01-01,0,15
2014-02-01,9,33
2014-03-01,9,106
2014-04-01,9,280
2014-05-01,9,322
2014-06-01,9,336
2014-07-01,27,382
2014-08-01,27,414
2014-09-01,27,513
2014-10-01,63,754
2014-11-01,83,1087
2014-12-01,110,1431
2015-01-01,137,1835
2015-02-01,138,2858
2015-03-01,137,4254
2015-04-01,137,5483
2015-05-01,137,6339
2015-06-01,137,6846
2015-07-01,128,7419
2015-08-01,128,7800
